iter	Logloss
0	0.6552391226
1	0.6190297923
2	0.5844850988
3	0.5520725552
4	0.5209003775
5	0.4910896504
6	0.4631577984
7	0.4361586851
8	0.4108744013
9	0.3866860981
10	0.3656383385
11	0.3452757641
12	0.3263062626
13	0.3079295124
14	0.2910121308
15	0.2747249778
16	0.2580423544
17	0.2447779833
18	0.2322024369
19	0.2176717381
20	0.2064552698
21	0.1956601434
22	0.1839123209
23	0.172744077
24	0.1623621522
25	0.1525519513
26	0.1433094563
27	0.1348127285
28	0.1264046491
29	0.118617043
30	0.1112714424
31	0.1047996019
32	0.09848702768
33	0.09308598866
34	0.08815131788
35	0.08285990052
36	0.07824468539
37	0.07396891212
38	0.07229092632
39	0.06886333932
40	0.06517215415
41	0.06136289797
42	0.05768090743
43	0.05418061848
44	0.05099645155
45	0.04798577889
46	0.04524394546
47	0.04269825848
48	0.04032691139
49	0.03801041927
